Reporting date,Card Type,Category,Series Description,Sector,Sub-sector, ObservationType , Observation Scale,Value
2015-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,3934406
2015-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3103099
2015-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1268549
2015-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1834550
2015-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,831307
2015-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,669676
2015-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,161631
2015-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,871832
2015-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,565365
2015-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,215624
2015-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,90843
2015-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,377595
2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,209805
2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,63644
2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,146161
2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,167790
2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,135138
2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,32652
2015-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,3792274
2015-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3034730
