Retailer,Location,Customer,model
Andertons,Guildford,72,Custom 22
Wunjo Guitars,London,63,Stratocaster
Pro Musica,Cork,60,Les Paul Standard
Waltons,Blanchardstown,69,SA460QM-ABB
Music Minds,Dublin,33,Dinky
X Music,Dublin,76,Hellraiser
Andertons,Guildford,32,Dot
Waltons,Blanchardstown,25,Model 330 12
Orpheus Music,Lagos,57,Fullerton
Andertons,Guildford,66,Pro-Mod
McMaster Guitars,Glasgow,51,Stratocaster
Andertons,Guildford,43,Stratocaster
Pro Musica,Cork,39,Dot
Waltons,Blanchardstown,37,SE
Waltons,Blanchardstown,40,Telecaster
Andertons,Guildford,62,Dinky
Pro Musica,Cork,70,Custom 24
X Music,Dublin,62,Les Paul Standard
Andertons,Guildford,28,Les Paul Studio
Waltons,Blanchardstown,63,SA460QM-ABB
